Timestep,Mean score
10000,-5.529733333333301
20000,-4.981966666666647
30000,-7.0262333333333435
40000,-6.696699999999971
50000,-4.259633333333332
60000,-4.539699999999963
70000,-1.8056999999999839
80000,-8.059633333333332
90000,-4.894566666666638
100000,-5.357333333333376
110000,-3.7902333333333122
120000,-5.365766666666664
130000,-6.390366666666654
140000,-5.349433333333307
150000,-4.317799999999971
160000,-5.738066666666651
170000,-4.021266666666658
180000,-5.725333333333309
190000,-5.8615333333333
200000,-4.834033333333314
210000,-5.130666666666636
220000,-3.867900000000003
230000,-5.8690999999999836
240000,-5.089666666666641
250000,-3.975499999999983
260000,-5.181466666666657
270000,-2.939099999999984
280000,-4.775066666666642
290000,-4.453033333333334
300000,-4.650033333333331
310000,-4.677666666666658
320000,-5.4805666666666815
330000,-3.5096999999999836
340000,-5.575733333333288
350000,-4.595133333333333
360000,-6.745666666666657
370000,-5.557033333333343
380000,-3.489833333333309
390000,-4.525499999999973
400000,-4.3326666666666345
410000,-3.5868333333333107
420000,-3.492433333333308
430000,-4.602633333333313
440000,-4.565299999999976
450000,-5.104433333333304
460000,-3.9983999999999726
470000,-6.659733333333331
480000,-3.938933333333314
490000,-2.79603333333332
500000,-4.41059999999997
510000,-4.2124666666666375
520000,-3.9460333333333115
530000,-2.934333333333312
540000,-5.969999999999987
550000,-1.8742999999999874
560000,-2.725466666666652
570000,-4.15439999999999
580000,-1.6787999999999832
590000,-3.4162666666666373
600000,-4.013966666666653
610000,-4.320833333333318
620000,-2.828799999999996
630000,-5.110599999999985
640000,-4.027400000000016
650000,-4.764333333333326
660000,-3.7771333333333197
670000,-3.3299333333333143
680000,-4.93313333333332
690000,-6.139800000000031
700000,-3.61993333333331
710000,-4.354433333333316
720000,-4.773166666666654
730000,-4.452966666666643
740000,-3.7685999999999757
750000,-4.190933333333318
760000,-4.826066666666642
770000,-2.398733333333317
780000,-3.646133333333307
790000,-5.611633333333308
800000,-6.345533333333303
810000,-4.317166666666648
820000,-2.9256666666666447
830000,-4.973266666666662
840000,-4.925733333333343
850000,-4.0532333333333135
860000,-2.2909333333333124
870000,-2.6067333333333162
880000,-5.78326666666664
890000,-3.711766666666647
900000,-2.2381666666666495
910000,-3.7817666666666594
920000,-2.313933333333312
930000,-3.573333333333324
940000,-3.2497666666666496
950000,-2.8123999999999807
960000,-3.9189333333333187
970000,-3.741266666666639
980000,-3.3156999999999957
990000,-2.6439666666666466
1000000,-3.6848999999999785
1010000,-2.790266666666645
1020000,-2.9404999999999766
1030000,-2.3439999999999848
1040000,-4.7816999999999865
1050000,-2.29313333333333
1060000,-5.7161333333333095
1070000,-2.8709999999999782
1080000,-3.008133333333311
1090000,-2.869699999999988
1100000,-4.073366666666637
1110000,-4.04396666666667
1120000,-3.005999999999982
1130000,-3.6538000000000115
1140000,-2.8286999999999805
1150000,-1.8951333333333173
1160000,-3.2839999999999763
1170000,-4.145166666666636
1180000,-2.69629999999998
1190000,-3.1866999999999885
1200000,-3.59116666666664
1210000,-4.539533333333314
1220000,-3.3285333333333065
1230000,-3.5823333333333154
1240000,-3.195933333333318
1250000,-2.3509333333333142
1260000,-3.1896666666666396
1270000,-1.8421333333333179
1280000,-2.016333333333313
1290000,-2.3137333333333183
1300000,-1.206433333333322
1310000,-4.449333333333337
1320000,-1.8293333333333186
1330000,-3.4319999999999746
1340000,-3.8117333333333097
1350000,-3.9454333333333054
1360000,-2.784399999999982
1370000,-3.1746666666666465
1380000,-2.394633333333318
1390000,-2.892666666666645
1400000,-4.057433333333307
1410000,-3.7673666666666397
1420000,-2.6699333333333124
1430000,-3.6176666666666444
1440000,-4.376533333333327
1450000,-2.6191999999999775
1460000,-2.628299999999979
1470000,-2.735366666666647
1480000,-2.8892999999999756
1490000,-3.3995999999999906
1500000,-2.4526666666666457
1510000,-3.8471666666666495
1520000,-3.027799999999973
1530000,-2.0060333333333173
1540000,-3.0530999999999744
1550000,-2.764499999999994
1560000,-3.7907333333333044
1570000,-2.908766666666664
1580000,-2.2920333333333187
1590000,-1.9709999999999834
1600000,-2.1549666666666463
1610000,-2.4232333333333114
1620000,-3.0877666666666403
1630000,-2.945166666666643
1640000,-3.284933333333308
1650000,-3.205266666666645
1660000,-3.8116999999999703
1670000,-3.731733333333312
1680000,-3.35486666666664
1690000,-3.433866666666643
1700000,-2.835099999999996
1710000,-1.920599999999985
1720000,-3.1624666666666554
1730000,-1.840599999999984
1740000,-2.059999999999986
1750000,-3.133633333333309
1760000,-2.3733666666666497
1770000,-2.3236333333333135
1780000,-1.96326666666665
1790000,-2.8696333333333097
1800000,-3.0122999999999776
1810000,-2.5403999999999862
1820000,-2.4682333333333224
1830000,-3.6007333333333076
1840000,-4.136199999999969
1850000,-1.7581999999999842
1860000,-2.4826666666666504
1870000,-2.8756999999999944
1880000,-1.7031666666666496
1890000,-1.6045333333333207
1900000,-1.8066666666666515
1910000,-1.9712333333333185
1920000,-1.8874999999999855
1930000,-2.3592666666666493
1940000,-3.373866666666649
1950000,-4.426666666666654
1960000,-2.7946999999999758
1970000,-2.405233333333316
1980000,-3.036800000000009
1990000,-2.2334999999999825
2000000,-1.2774666666666548
