Timestep,Mean score
10000,-164.599757351611
20000,-182.08156518401208
30000,-152.07144468143355
40000,-182.77659397934306
50000,-159.83692006038854
60000,-206.75283863020115
70000,-189.72854954014704
80000,-193.22170835691398
90000,-174.24587466965923
100000,-179.11112425901854
110000,-209.38370483798687
120000,-172.1257051612935
130000,-189.3768281039084
140000,-177.86628462194352
150000,-182.26911663831908
160000,-182.7115662794455
170000,-184.77463089436452
180000,-188.085185195388
190000,-201.16475317841795
200000,-166.76488872261962
210000,-169.82988364322685
220000,-157.15236172363743
230000,-126.66899922212777
240000,-155.38483236418335
250000,-166.0287425643367
260000,-154.74188924068386
270000,-125.62831545625758
280000,-114.93699272586271
290000,-133.37056992438767
300000,-152.40679353664166
310000,-150.6833719840605
320000,-152.4875738828444
330000,-141.14336787875828
340000,-107.46355162092571
350000,-146.1216366207946
360000,-138.69601792205108
370000,-150.08372297320884
380000,-128.81616612566745
390000,-141.3238492093678
400000,-121.7476051532365
410000,-145.99129085078184
420000,-132.2550551006406
430000,-120.03775337563826
440000,-148.47375110450048
450000,-135.4208118685073
460000,-122.73650849404467
470000,-149.92654185339924
480000,-109.32401407130301
490000,-122.10001490361638
500000,-144.9992548470124
510000,-126.1826077573607
520000,-141.4061941790847
530000,-128.3118664243332
540000,-116.5166197908202
550000,-101.23993904813189
560000,-131.43786595651454
570000,-127.14487183609006
580000,-96.8964501473637
590000,-109.460201932988
600000,-138.32915064560686
610000,-97.31846686574303
620000,-100.6707493930583
630000,-124.88916843594036
640000,-101.20744667664638
650000,-129.39525334990046
660000,-143.13176089759907
670000,-119.66969790008507
680000,-137.61666096242377
690000,-111.08832299853023
700000,-76.82729374898466
710000,-128.24347360183896
720000,-108.07106933146143
730000,-98.42725226040619
740000,-92.76150642942092
750000,-124.96555016934454
760000,-90.93958647564604
770000,-107.02389025657469
780000,-137.90785251630822
790000,-118.03521761273166
800000,-116.07569494265948
810000,-82.06739647908427
820000,-102.36984851700944
830000,-108.98655418807205
840000,-109.05471201678877
850000,-105.07737394609438
860000,-109.63667626178773
870000,-104.68854020773135
880000,-105.07672405708959
890000,-106.09020471456847
900000,-93.8875878602602
910000,-96.58727414264372
920000,-77.29670750301376
930000,-103.3049903949322
940000,-116.09478597436534
950000,-112.22540882348454
960000,-105.48661957093343
970000,-118.64371872223312
980000,-106.730685158624
990000,-90.07307948619263
1000000,-112.90698515975575
1010000,-87.88615673620453
1020000,-78.6113353815597
1030000,-117.57760532877708
1040000,-95.46961999810206
1050000,-89.49651430535523
1060000,-110.79359557819517
1070000,-79.88428495329711
1080000,-128.50739805209727
1090000,-96.12048293301986
1100000,-99.4909393124628
1110000,-95.89219165359063
1120000,-68.875572714197
1130000,-90.33005314419009
1140000,-108.16619521486707
1150000,-99.53466438750965
1160000,-104.15645427155306
1170000,-68.88063987129999
1180000,-95.78751545942848
1190000,-79.56769150792312
1200000,-68.00851921000857
1210000,-60.83026911265055
1220000,-102.63218010564371
1230000,-115.79016372828951
1240000,-81.0809457580659
1250000,-74.85972174830003
1260000,-97.71350642386467
1270000,-53.31504197629613
1280000,-85.32866825840644
1290000,-53.10561354156673
1300000,-75.5863799414681
1310000,-77.06709148681503
1320000,-51.015758919913516
1330000,-44.17476942206654
1340000,-49.51670163842402
1350000,-53.808785809938826
1360000,-70.98201842224812
1370000,-57.859116333707576
1380000,-68.68110274062869
1390000,-44.997537943308586
1400000,-61.49872481764168
1410000,-49.28595961582421
1420000,-59.70118718212301
1430000,-66.05957100210344
1440000,-54.90134424782623
1450000,-36.82401590249843
1460000,-74.76195374074324
1470000,-45.90538394990697
1480000,-27.03015189078386
1490000,-66.41353132465345
1500000,-43.989010667783354
1510000,-65.31722514108974
1520000,-57.253137218371606
1530000,-60.589113050385905
1540000,-47.72597698886437
1550000,-65.48666138062008
1560000,-34.98800974752912
1570000,-32.834510154935266
1580000,-47.30584667047297
1590000,-35.243217288136876
1600000,-49.75536122166927
1610000,-52.77197622376592
1620000,-62.63544565747965
1630000,-26.863863268300108
1640000,-37.85143911823554
1650000,-54.96080629256209
1660000,-126.54346774158672
1670000,-61.928318158087954
1680000,-70.4468847287378
1690000,-17.151738037607984
1700000,-50.41633417793707
1710000,-62.40078258613127
1720000,-74.0081468078139
1730000,-75.42876369270624
1740000,-47.68815526146807
1750000,-48.67401157505277
1760000,-59.7803765848158
1770000,-60.07826522230217
1780000,-46.535764180924176
1790000,-33.652209977148466
1800000,-60.881304883091644
1810000,-53.2980288120322
1820000,-76.15793729486363
1830000,-46.13435567363465
1840000,-58.9143557087912
1850000,-67.73759374979196
1860000,-52.78490122207916
1870000,-34.59521650599721
1880000,-51.140693804328016
1890000,-25.669647929972736
1900000,-45.63941919664934
1910000,-13.102255921811567
1920000,-27.195297054035212
1930000,-47.23334062743718
1940000,-9.17797876882873
1950000,-48.67621343001552
1960000,-34.805841233833874
1970000,-34.572638870949504
1980000,-42.9580281849538
1990000,-60.60743726077859
2000000,-33.831645478053865
